iteration,episode,ag1_iql_loss,ag2_iql_loss
0,0,0.10944,0.46447
1,50,0.00771,0.01054
2,100,0.02906,0.08372
3,150,0.07067,0.24321
4,200,0.05252,0.58222
5,250,0.21094,1.40758
6,300,0.29000,2.02001
7,350,0.17237,1.42416
8,400,0.24821,0.71493
9,450,0.30369,0.45700
10,500,0.19676,0.47395
11,550,0.14704,0.34323
12,600,0.15018,0.19415
13,650,0.22996,0.32532
14,700,0.14798,0.34122
15,750,0.09821,0.13948
16,800,0.05024,0.07856
17,850,0.02650,0.10172
18,900,0.01341,0.11677
19,950,0.00954,0.14353
20,1000,0.00801,0.17837
21,1050,0.00842,0.22601
22,1100,0.00999,0.29191
23,1150,0.01108,0.37753
24,1200,0.01134,0.42476
25,1250,0.01302,0.53113
26,1300,0.01449,0.59222
27,1350,0.01741,0.69555
28,1400,0.01756,0.73222
29,1450,0.01757,0.81215
30,1500,0.01768,0.95179
31,1550,0.01951,0.92072
32,1600,0.01975,1.13753
33,1650,0.02263,1.11558
34,1700,0.02302,1.15093
35,1750,0.02546,1.23301
36,1800,0.02586,1.41328
37,1850,0.02871,1.48858
38,1900,0.03213,1.43897
39,1950,0.03373,1.54260
40,2000,0.03352,1.68883
41,2050,0.03590,1.69638
42,2100,0.04375,1.72477
43,2150,0.05039,1.66461
44,2200,0.05223,1.54758
45,2250,0.05431,1.77138
46,2300,0.05510,1.58392
47,2350,0.06193,1.59985
48,2400,0.06548,1.51331
49,2450,0.06639,1.56058
50,2500,0.06667,1.49791
51,2550,0.07609,1.56579
52,2600,0.07697,1.67186
53,2650,0.08676,1.73588
54,2700,0.08944,1.72284
55,2750,0.08078,1.76838
56,2800,0.08601,1.66949
57,2850,0.09616,1.70704
58,2900,0.09036,1.65559
59,2950,0.08893,1.79183
60,3000,0.08422,1.77684
61,3050,0.08361,1.90024
62,3100,0.09025,1.90095
63,3150,0.09712,2.00799
64,3200,0.08791,1.91650
65,3250,0.09483,2.08212
66,3300,0.09269,2.02867
67,3350,0.10071,2.00085
68,3400,0.10012,1.82653
69,3450,0.09673,1.76231
70,3500,0.09984,1.83189
71,3550,0.10678,2.03054
72,3600,0.11175,1.93135
73,3650,0.10684,1.72885
74,3700,0.09708,1.73354
75,3750,0.10303,1.80135
76,3800,0.09968,1.76980
77,3850,0.09587,1.79043
78,3900,0.10411,1.70259
79,3950,0.10198,1.73977
80,4000,0.09935,1.93266
81,4050,0.10149,1.76182
82,4100,0.09761,1.85401
83,4150,0.10317,1.79748
84,4200,0.10282,1.81721
85,4250,0.10044,1.73520
86,4300,0.10944,1.85994
87,4350,0.10691,1.84082
88,4400,0.09910,1.93113
89,4450,0.10692,1.78340
90,4500,0.11463,1.66775
91,4550,0.11515,1.98769
92,4600,0.10603,1.80552
93,4650,0.11246,1.82981
94,4700,0.09884,1.83087
95,4750,0.10446,1.85898
96,4800,0.11397,1.64017
97,4850,0.10961,1.63925
98,4900,0.11278,1.81868
99,4950,0.11860,1.91236
